Year,Measure Names,Measure Values
1981,Fuel Expense,10180.04502
1980,Fuel Expense,9443.360496
1979,Fuel Expense,6267.339501
1978,Fuel Expense,4040.031519
1977,Fuel Expense,3618.257801
2021,Total Operating Revenue,130009.6463
2020,Total Operating Revenue,77298.15814
2019,Total Operating Revenue,196214.6182
2018,Total Operating Revenue,187473.7154
2017,Total Operating Revenue,175552.9314
2016,Total Operating Revenue,168129.4583
2015,Total Operating Revenue,168874.499
2014,Total Operating Revenue,169276.5412
2013,Total Operating Revenue,161595.4996
2012,Total Operating Revenue,156373.9726
2011,Total Operating Revenue,153049.3589
2010,Total Operating Revenue,138641.5753
2009,Total Operating Revenue,123455.1925
2008,Total Operating Revenue,146392.2992
2007,Total Operating Revenue,138221.4292
2006,Total Operating Revenue,130961.3049
2005,Total Operating Revenue,119010.006
2004,Total Operating Revenue,106734.0552
2003,Total Operating Revenue,92949.78335
2002,Total Operating Revenue,84254.8381
2001,Total Operating Revenue,92011.56243
2000,Total Operating Revenue,105310.7681
1999,Total Operating Revenue,96163.20699
1998,Total Operating Revenue,91949.4068
1997,Total Operating Revenue,90142.86722
1996,Total Operating Revenue,84733.35462
1995,Total Operating Revenue,79081.47864
1994,Total Operating Revenue,74632.27696
1993,Total Operating Revenue,72801.48413
1992,Total Operating Revenue,67307.90958
1991,Total Operating Revenue,64687.71927
1990,Total Operating Revenue,65817.16018
1989,Total Operating Revenue,60577.08469
1988,Total Operating Revenue,56657.28119
1987,Total Operating Revenue,50957.33194
1986,Total Operating Revenue,44867.07469
1985,Total Operating Revenue,44537.19819
1984,Total Operating Revenue,41998.42479
1983,Total Operating Revenue,37124.28483
1982,Total Operating Revenue,34819.52935
1981,Total Operating Revenue,34390.15513
1980,Total Operating Revenue,31950.49479
1979,Total Operating Revenue,26411.24601
1978,Total Operating Revenue,22244.52496
1977,Total Operating Revenue,19423.18982
